Epoch 1/50 | Loss: 0.6257 | Val Acc: 70.86%
Epoch 2/50 | Loss: 0.5081 | Val Acc: 78.20%
Epoch 3/50 | Loss: 0.4160 | Val Acc: 76.22%
Epoch 4/50 | Loss: 0.3315 | Val Acc: 85.42%
Epoch 5/50 | Loss: 0.2731 | Val Acc: 86.88%
Epoch 6/50 | Loss: 0.2381 | Val Acc: 91.10%
Epoch 7/50 | Loss: 0.2059 | Val Acc: 90.46%
Epoch 8/50 | Loss: 0.1911 | Val Acc: 92.54%
Epoch 9/50 | Loss: 0.1759 | Val Acc: 91.02%
Epoch 10/50 | Loss: 0.1634 | Val Acc: 93.34%
Epoch 11/50 | Loss: 0.1545 | Val Acc: 93.24%
Epoch 12/50 | Loss: 0.1430 | Val Acc: 93.28%
Epoch 13/50 | Loss: 0.1325 | Val Acc: 92.28%
Epoch 14/50 | Loss: 0.1199 | Val Acc: 94.40%
Epoch 15/50 | Loss: 0.1128 | Val Acc: 94.46%
Epoch 16/50 | Loss: 0.1149 | Val Acc: 93.64%
Epoch 17/50 | Loss: 0.0981 | Val Acc: 94.50%
Epoch 18/50 | Loss: 0.0985 | Val Acc: 94.76%
Epoch 19/50 | Loss: 0.0922 | Val Acc: 95.54%
Epoch 20/50 | Loss: 0.0907 | Val Acc: 96.06%
Epoch 21/50 | Loss: 0.0820 | Val Acc: 95.24%
Epoch 22/50 | Loss: 0.0796 | Val Acc: 93.78%
Epoch 23/50 | Loss: 0.0760 | Val Acc: 95.44%
Epoch 24/50 | Loss: 0.0724 | Val Acc: 95.66%
Epoch 25/50 | Loss: 0.0709 | Val Acc: 94.46%
Epoch 26/50 | Loss: 0.0693 | Val Acc: 95.26%
Epoch 27/50 | Loss: 0.0641 | Val Acc: 94.92%
Epoch 28/50 | Loss: 0.0606 | Val Acc: 95.60%
Epoch 29/50 | Loss: 0.0591 | Val Acc: 96.28%
Epoch 30/50 | Loss: 0.0548 | Val Acc: 95.58%
Epoch 31/50 | Loss: 0.0566 | Val Acc: 95.40%
Epoch 32/50 | Loss: 0.0565 | Val Acc: 96.04%
Epoch 33/50 | Loss: 0.0484 | Val Acc: 95.78%
Epoch 34/50 | Loss: 0.0492 | Val Acc: 95.92%
Epoch 35/50 | Loss: 0.0458 | Val Acc: 96.52%
Epoch 36/50 | Loss: 0.0457 | Val Acc: 95.82%
Epoch 37/50 | Loss: 0.0458 | Val Acc: 96.32%
Epoch 38/50 | Loss: 0.0416 | Val Acc: 94.96%
Epoch 39/50 | Loss: 0.0455 | Val Acc: 94.38%
Epoch 40/50 | Loss: 0.0375 | Val Acc: 95.62%
Epoch 41/50 | Loss: 0.0379 | Val Acc: 96.14%
Epoch 42/50 | Loss: 0.0375 | Val Acc: 95.84%
Epoch 43/50 | Loss: 0.0357 | Val Acc: 95.60%
Epoch 44/50 | Loss: 0.0382 | Val Acc: 95.36%
Epoch 45/50 | Loss: 0.0344 | Val Acc: 96.36%
Epoch 46/50 | Loss: 0.0346 | Val Acc: 96.26%
Epoch 47/50 | Loss: 0.0316 | Val Acc: 96.54%
Epoch 48/50 | Loss: 0.0319 | Val Acc: 96.50%
Epoch 49/50 | Loss: 0.0307 | Val Acc: 96.22%
Epoch 50/50 | Loss: 0.0292 | Val Acc: 96.32%
Model Saved: resnet50_catsdogs.pth
/home/ee4483_02/NTU-IE4483/train_scratch_model.py:221: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  timestamp = (datetime.utcnow() + timedelta(hours=8)).strftime("%m%d%H%M%S")
