Epoch 1/50 | Loss: 0.6368 | Val Acc: 71.62%
Epoch 2/50 | Loss: 0.5201 | Val Acc: 77.36%
Epoch 3/50 | Loss: 0.4179 | Val Acc: 81.46%
Epoch 4/50 | Loss: 0.3513 | Val Acc: 84.24%
Epoch 5/50 | Loss: 0.2873 | Val Acc: 88.34%
Epoch 6/50 | Loss: 0.2414 | Val Acc: 90.10%
Epoch 7/50 | Loss: 0.2165 | Val Acc: 91.54%
Epoch 8/50 | Loss: 0.1889 | Val Acc: 87.52%
Epoch 9/50 | Loss: 0.1724 | Val Acc: 89.08%
Epoch 10/50 | Loss: 0.1625 | Val Acc: 89.00%
Epoch 11/50 | Loss: 0.1499 | Val Acc: 94.20%
Epoch 12/50 | Loss: 0.1410 | Val Acc: 93.20%
Epoch 13/50 | Loss: 0.1300 | Val Acc: 94.94%
Epoch 14/50 | Loss: 0.1296 | Val Acc: 93.56%
Epoch 15/50 | Loss: 0.1214 | Val Acc: 93.66%
Epoch 16/50 | Loss: 0.1098 | Val Acc: 93.26%
Epoch 17/50 | Loss: 0.1058 | Val Acc: 93.80%
Epoch 18/50 | Loss: 0.0952 | Val Acc: 95.38%
Epoch 19/50 | Loss: 0.0922 | Val Acc: 95.34%
Epoch 20/50 | Loss: 0.0955 | Val Acc: 94.62%
Epoch 21/50 | Loss: 0.0854 | Val Acc: 94.18%
Epoch 22/50 | Loss: 0.0872 | Val Acc: 95.54%
Epoch 23/50 | Loss: 0.0778 | Val Acc: 95.48%
Epoch 24/50 | Loss: 0.0750 | Val Acc: 95.94%
Epoch 25/50 | Loss: 0.0716 | Val Acc: 95.58%
Epoch 26/50 | Loss: 0.0676 | Val Acc: 95.98%
Epoch 27/50 | Loss: 0.0652 | Val Acc: 95.94%
Epoch 28/50 | Loss: 0.0652 | Val Acc: 96.20%
Epoch 29/50 | Loss: 0.0609 | Val Acc: 96.04%
Epoch 30/50 | Loss: 0.0557 | Val Acc: 95.90%
Epoch 31/50 | Loss: 0.0527 | Val Acc: 96.00%
Epoch 32/50 | Loss: 0.0563 | Val Acc: 95.80%
Epoch 33/50 | Loss: 0.0547 | Val Acc: 96.00%
Epoch 34/50 | Loss: 0.0514 | Val Acc: 96.42%
Epoch 35/50 | Loss: 0.0497 | Val Acc: 95.38%
Epoch 36/50 | Loss: 0.0429 | Val Acc: 95.42%
Epoch 37/50 | Loss: 0.0490 | Val Acc: 96.48%
Epoch 38/50 | Loss: 0.0407 | Val Acc: 95.88%
Epoch 39/50 | Loss: 0.0411 | Val Acc: 95.82%
Epoch 40/50 | Loss: 0.0383 | Val Acc: 95.20%
Epoch 41/50 | Loss: 0.0394 | Val Acc: 96.94%
Epoch 42/50 | Loss: 0.0423 | Val Acc: 96.70%
Epoch 43/50 | Loss: 0.0360 | Val Acc: 96.58%
Epoch 44/50 | Loss: 0.0359 | Val Acc: 95.34%
Epoch 45/50 | Loss: 0.0318 | Val Acc: 95.66%
Epoch 46/50 | Loss: 0.0343 | Val Acc: 96.44%
Epoch 47/50 | Loss: 0.0360 | Val Acc: 96.26%
Epoch 48/50 | Loss: 0.0336 | Val Acc: 96.06%
Epoch 49/50 | Loss: 0.0307 | Val Acc: 96.64%
Epoch 50/50 | Loss: 0.0279 | Val Acc: 95.08%
Model Saved: resnet50_catsdogs.pth
/home/ee4483_02/NTU-IE4483/train_scratch_model.py:221: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  timestamp = (datetime.utcnow() + timedelta(hours=8)).strftime("%m%d%H%M%S")
