Epoch 1/50 | Loss: 0.6309 | Val Acc: 70.76%
Epoch 2/50 | Loss: 0.5103 | Val Acc: 76.10%
Epoch 3/50 | Loss: 0.4090 | Val Acc: 78.08%
Epoch 4/50 | Loss: 0.3454 | Val Acc: 84.14%
Epoch 5/50 | Loss: 0.2924 | Val Acc: 83.52%
Epoch 6/50 | Loss: 0.2433 | Val Acc: 91.04%
Epoch 7/50 | Loss: 0.2134 | Val Acc: 91.70%
Epoch 8/50 | Loss: 0.1928 | Val Acc: 91.00%
Epoch 9/50 | Loss: 0.1834 | Val Acc: 93.26%
Epoch 10/50 | Loss: 0.1626 | Val Acc: 92.00%
Epoch 11/50 | Loss: 0.1543 | Val Acc: 92.00%
Epoch 12/50 | Loss: 0.1380 | Val Acc: 92.08%
Epoch 13/50 | Loss: 0.1373 | Val Acc: 94.64%
Epoch 14/50 | Loss: 0.1289 | Val Acc: 93.42%
Epoch 15/50 | Loss: 0.1220 | Val Acc: 95.42%
Epoch 16/50 | Loss: 0.1077 | Val Acc: 94.98%
Epoch 17/50 | Loss: 0.1094 | Val Acc: 94.38%
Epoch 18/50 | Loss: 0.1005 | Val Acc: 94.08%
Epoch 19/50 | Loss: 0.0943 | Val Acc: 93.72%
Epoch 20/50 | Loss: 0.0901 | Val Acc: 95.26%
Epoch 21/50 | Loss: 0.0857 | Val Acc: 95.22%
Epoch 22/50 | Loss: 0.0795 | Val Acc: 95.56%
Epoch 23/50 | Loss: 0.0761 | Val Acc: 95.60%
Epoch 24/50 | Loss: 0.0744 | Val Acc: 95.38%
Epoch 25/50 | Loss: 0.0691 | Val Acc: 95.96%
Epoch 26/50 | Loss: 0.0648 | Val Acc: 94.28%
Epoch 27/50 | Loss: 0.0658 | Val Acc: 94.80%
Epoch 28/50 | Loss: 0.0631 | Val Acc: 95.50%
Epoch 29/50 | Loss: 0.0553 | Val Acc: 95.90%
Epoch 30/50 | Loss: 0.0613 | Val Acc: 95.80%
Epoch 31/50 | Loss: 0.0546 | Val Acc: 96.04%
Epoch 32/50 | Loss: 0.0534 | Val Acc: 96.14%
Epoch 33/50 | Loss: 0.0499 | Val Acc: 96.18%
Epoch 34/50 | Loss: 0.0483 | Val Acc: 95.28%
Epoch 35/50 | Loss: 0.0480 | Val Acc: 96.08%
Epoch 36/50 | Loss: 0.0460 | Val Acc: 95.42%
Epoch 37/50 | Loss: 0.0451 | Val Acc: 96.38%
Epoch 38/50 | Loss: 0.0441 | Val Acc: 96.80%
Epoch 39/50 | Loss: 0.0449 | Val Acc: 96.12%
Epoch 40/50 | Loss: 0.0400 | Val Acc: 96.14%
Epoch 41/50 | Loss: 0.0366 | Val Acc: 95.68%
Epoch 42/50 | Loss: 0.0365 | Val Acc: 95.62%
Epoch 43/50 | Loss: 0.0393 | Val Acc: 96.32%
Epoch 44/50 | Loss: 0.0329 | Val Acc: 96.20%
Epoch 45/50 | Loss: 0.0364 | Val Acc: 96.78%
Epoch 46/50 | Loss: 0.0314 | Val Acc: 95.96%
Epoch 47/50 | Loss: 0.0336 | Val Acc: 96.56%
Epoch 48/50 | Loss: 0.0322 | Val Acc: 96.80%
Epoch 49/50 | Loss: 0.0300 | Val Acc: 96.38%
Epoch 50/50 | Loss: 0.0339 | Val Acc: 95.90%
Model Saved: resnet50_catsdogs.pth
/home/ee4483_02/NTU-IE4483/train_scratch_model.py:221: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  timestamp = (datetime.utcnow() + timedelta(hours=8)).strftime("%m%d%H%M%S")
