Epoch 1/50 | Loss: 0.7542 | Val Acc: 55.22%
Epoch 2/50 | Loss: 0.6490 | Val Acc: 59.44%
Epoch 3/50 | Loss: 0.6527 | Val Acc: 62.58%
Epoch 4/50 | Loss: 0.6230 | Val Acc: 67.52%
Epoch 5/50 | Loss: 0.5967 | Val Acc: 64.44%
Epoch 6/50 | Loss: 0.5729 | Val Acc: 69.20%
Epoch 7/50 | Loss: 0.5444 | Val Acc: 72.32%
Epoch 8/50 | Loss: 0.5051 | Val Acc: 75.52%
Epoch 9/50 | Loss: 0.4816 | Val Acc: 71.50%
Epoch 10/50 | Loss: 0.4503 | Val Acc: 78.80%
Epoch 11/50 | Loss: 0.4276 | Val Acc: 81.46%
Epoch 12/50 | Loss: 0.3921 | Val Acc: 82.16%
Epoch 13/50 | Loss: 0.3665 | Val Acc: 78.20%
Epoch 14/50 | Loss: 0.3432 | Val Acc: 84.60%
Epoch 15/50 | Loss: 0.3156 | Val Acc: 85.64%
Epoch 16/50 | Loss: 0.2902 | Val Acc: 88.38%
Epoch 17/50 | Loss: 0.2732 | Val Acc: 87.70%
Epoch 18/50 | Loss: 0.2461 | Val Acc: 88.02%
Epoch 19/50 | Loss: 0.2274 | Val Acc: 88.26%
Epoch 20/50 | Loss: 0.2053 | Val Acc: 90.10%
Epoch 21/50 | Loss: 0.1960 | Val Acc: 79.58%
Epoch 22/50 | Loss: 0.1799 | Val Acc: 92.20%
Epoch 23/50 | Loss: 0.1716 | Val Acc: 86.16%
Epoch 24/50 | Loss: 0.1639 | Val Acc: 92.16%
Epoch 25/50 | Loss: 0.1581 | Val Acc: 92.08%
Epoch 26/50 | Loss: 0.1536 | Val Acc: 93.20%
Epoch 27/50 | Loss: 0.1534 | Val Acc: 93.86%
Epoch 28/50 | Loss: 0.1435 | Val Acc: 94.10%
Epoch 29/50 | Loss: 0.1339 | Val Acc: 91.26%
Epoch 30/50 | Loss: 0.1353 | Val Acc: 93.08%
Epoch 31/50 | Loss: 0.1244 | Val Acc: 93.98%
Epoch 32/50 | Loss: 0.1225 | Val Acc: 94.54%
Epoch 33/50 | Loss: 0.1138 | Val Acc: 93.78%
Epoch 34/50 | Loss: 0.1140 | Val Acc: 93.36%
Epoch 35/50 | Loss: 0.1171 | Val Acc: 94.92%
Epoch 36/50 | Loss: 0.1063 | Val Acc: 94.56%
Epoch 37/50 | Loss: 0.1068 | Val Acc: 95.36%
Epoch 38/50 | Loss: 0.1065 | Val Acc: 93.34%
Epoch 39/50 | Loss: 0.0998 | Val Acc: 95.60%
Epoch 40/50 | Loss: 0.0934 | Val Acc: 94.54%
Epoch 41/50 | Loss: 0.0937 | Val Acc: 95.82%
Epoch 42/50 | Loss: 0.0935 | Val Acc: 95.68%
Epoch 43/50 | Loss: 0.0851 | Val Acc: 95.58%
Epoch 44/50 | Loss: 0.0892 | Val Acc: 95.74%
Epoch 45/50 | Loss: 0.0794 | Val Acc: 95.84%
Epoch 46/50 | Loss: 0.0817 | Val Acc: 95.26%
Epoch 47/50 | Loss: 0.0808 | Val Acc: 95.60%
Epoch 48/50 | Loss: 0.0817 | Val Acc: 93.66%
Epoch 49/50 | Loss: 0.1637 | Val Acc: 93.96%
Epoch 50/50 | Loss: 0.0860 | Val Acc: 94.32%
Model Saved: resnet50_catsdogs.pth
/home/ee4483_02/NTU-IE4483/train_scratch_model.py:225: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  timestamp = (datetime.utcnow() + timedelta(hours=8)).strftime("%m%d%H%M%S")
