Epoch 1/50 | Loss: 0.6495 | Val Acc: 64.88%
Epoch 2/50 | Loss: 0.6078 | Val Acc: 67.80%
Epoch 3/50 | Loss: 0.5799 | Val Acc: 68.98%
Epoch 4/50 | Loss: 0.5589 | Val Acc: 69.54%
Epoch 5/50 | Loss: 0.5379 | Val Acc: 72.22%
Epoch 6/50 | Loss: 0.5174 | Val Acc: 76.10%
Epoch 7/50 | Loss: 0.4960 | Val Acc: 75.66%
Epoch 8/50 | Loss: 0.4752 | Val Acc: 77.08%
Epoch 9/50 | Loss: 0.4577 | Val Acc: 78.32%
Epoch 10/50 | Loss: 0.4399 | Val Acc: 79.08%
Epoch 11/50 | Loss: 0.4245 | Val Acc: 79.94%
Epoch 12/50 | Loss: 0.4055 | Val Acc: 81.62%
Epoch 13/50 | Loss: 0.3960 | Val Acc: 80.56%
Epoch 14/50 | Loss: 0.3822 | Val Acc: 82.38%
Epoch 15/50 | Loss: 0.3664 | Val Acc: 82.50%
Epoch 16/50 | Loss: 0.3542 | Val Acc: 82.58%
Epoch 17/50 | Loss: 0.3431 | Val Acc: 84.56%
Epoch 18/50 | Loss: 0.3327 | Val Acc: 84.28%
Epoch 19/50 | Loss: 0.3131 | Val Acc: 83.90%
Epoch 20/50 | Loss: 0.3085 | Val Acc: 85.08%
Epoch 21/50 | Loss: 0.3013 | Val Acc: 84.68%
Epoch 22/50 | Loss: 0.2868 | Val Acc: 84.88%
Epoch 23/50 | Loss: 0.2810 | Val Acc: 85.22%
Epoch 24/50 | Loss: 0.2653 | Val Acc: 86.16%
Epoch 25/50 | Loss: 0.2571 | Val Acc: 86.16%
Epoch 26/50 | Loss: 0.2470 | Val Acc: 87.04%
Epoch 27/50 | Loss: 0.2355 | Val Acc: 86.52%
Epoch 28/50 | Loss: 0.2320 | Val Acc: 86.28%
Epoch 29/50 | Loss: 0.2228 | Val Acc: 87.42%
Epoch 30/50 | Loss: 0.2082 | Val Acc: 87.02%
Epoch 31/50 | Loss: 0.2055 | Val Acc: 88.26%
Epoch 32/50 | Loss: 0.1955 | Val Acc: 88.32%
Epoch 33/50 | Loss: 0.1935 | Val Acc: 88.24%
Epoch 34/50 | Loss: 0.1865 | Val Acc: 86.76%
Epoch 35/50 | Loss: 0.1735 | Val Acc: 88.80%
Epoch 36/50 | Loss: 0.1681 | Val Acc: 88.60%
Epoch 37/50 | Loss: 0.1601 | Val Acc: 89.14%
Epoch 38/50 | Loss: 0.1495 | Val Acc: 88.50%
Epoch 39/50 | Loss: 0.1488 | Val Acc: 88.72%
Epoch 40/50 | Loss: 0.1451 | Val Acc: 89.86%
Epoch 41/50 | Loss: 0.1354 | Val Acc: 89.44%
Epoch 42/50 | Loss: 0.1251 | Val Acc: 89.34%
Epoch 43/50 | Loss: 0.1254 | Val Acc: 90.02%
Epoch 44/50 | Loss: 0.1203 | Val Acc: 89.46%
Epoch 45/50 | Loss: 0.1105 | Val Acc: 89.86%
Epoch 46/50 | Loss: 0.1133 | Val Acc: 90.26%
Epoch 47/50 | Loss: 0.1015 | Val Acc: 90.50%
Epoch 48/50 | Loss: 0.1019 | Val Acc: 90.74%
Epoch 49/50 | Loss: 0.0910 | Val Acc: 90.24%
Epoch 50/50 | Loss: 0.0913 | Val Acc: 90.66%
Model Saved: resnet50_catsdogs.pth
/home/ee4483_02/NTU-IE4483/train_scratch_model.py:225: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  timestamp = (datetime.utcnow() + timedelta(hours=8)).strftime("%m%d%H%M%S")
